UniProtKB:A0A5G2R3E9	IL6R
UniProtKB:Q69DL0	C1QA
UniProtKB:F1SMJ6	C9
UniProtKB:F1SMJ1	C7
UniProtKB:F1SMI4	PAPPA
UniProtKB:A0A5G2R3A0	KLK11
UniProtKB:P20034	PDGFB
UniProtKB:A0A5G2R2Z9	COL8A1
UniProtKB:P03970	INHBA
UniProtKB:A0A5G2R2Y0	MFAP5
UniProtKB:P20002	FGF1
UniProtKB:A0A287BBL9	DEFB112
UniProtKB:Q6R953	DEFB1
UniProtKB:A2BD09	OLFML2A
UniProtKB:F1SLW8	A2ML1
UniProtKB:A0A5G2R305	HAPLN3
UniProtKB:A0A287BBC9	RMDN3
UniProtKB:F1SLT3	LAG3
UniProtKB:A0A5G2R2L7	DNAJC8
UniProtKB:F1SM14	SPP2
UniProtKB:A0A287BAZ3	EPB41
UniProtKB:A0A287BAY9	ALB
UniProtKB:A0A5G2QQD0	CXCL12
UniProtKB:F1SLF5	PRADC1
