UniProtKB:A0A5G2QWP0	PLXND1
UniProtKB:A0A287AY47	RANGRF
UniProtKB:A0A287AY41	LOC110255267
UniProtKB:K7GT68	ITGA6
UniProtKB:A0A287AXR4	AADAC
UniProtKB:A0A5G2R8Q4	A0A5G2R8Q4
UniProtKB:A0A5G2QX25	A0A5G2QX25
UniProtKB:A0A287AXQ6	RAB8B
UniProtKB:A0A287AY25	LOC100155405
UniProtKB:A0A287B9Q3	CNTN1
UniProtKB:A0A287AY20	LOC100522664
UniProtKB:F1SDC3	GJA5
UniProtKB:K7GT47	SPNS1
UniProtKB:K7GT46	CTLA4
UniProtKB:A0A287AXP8	RIC1
UniProtKB:A0A287AY16	LOC100737033
UniProtKB:A0A287AY15	SORCS2
UniProtKB:F1SDB8	CHD1L
UniProtKB:A0A5K1V9N9	SYT5
UniProtKB:A0A287B9P0	GPR52
UniProtKB:K7GSR6	NT5E
UniProtKB:A0A5G2QWR5	KCNJ9
UniProtKB:B1PHQ8	CMLKR1
UniProtKB:A0A287AY00	MYO19
UniProtKB:F2Z552	RAB39B
UniProtKB:K7GT29	IL17RA
UniProtKB:A0A5G2QHZ7	A0A5G2QHZ7
UniProtKB:A0A287AXN7	UBXN6
UniProtKB:A0A287B9N5	ANO9
UniProtKB:A0A287AXN4	A0A287AXN4
UniProtKB:A0A287B9N3	MTNR1A
UniProtKB:A0A287B9N1	PLAUR
UniProtKB:A0A287B9N0	FRS2
UniProtKB:K7GSP7	DLG1
UniProtKB:K7GT14	TMEM74
UniProtKB:K7GSP1	SLA-DMA
UniProtKB:K7GNQ0	STMN2
UniProtKB:A0A5G2QHY2	A0A5G2QHY2
UniProtKB:D2IE28	CCNB1
UniProtKB:A0A287AXM6	NOS3
UniProtKB:A0A287B9M0	A0A287B9M0
UniProtKB:A5D9N3	AIF1
UniProtKB:A0A481BA38	LPCAT3
UniProtKB:A0A5G2QI93	ABHD16A
UniProtKB:A0A287B9L8	TMEM221
UniProtKB:A0A287B9L5	LOC100620839
UniProtKB:A0A287AXL4	A0A287AXL4
UniProtKB:Q0KKC2	MGAT1
UniProtKB:F1STG6	IL1R2
UniProtKB:A0A287AXK5	TMEM234
UniProtKB:A5D9L3	SLA-DMB
UniProtKB:A0A287AT21	SORD
UniProtKB:K7GSM4	ARFGEF1
UniProtKB:K7GSM3	TGFBR1
UniProtKB:K7GSM1	LOC100520753
UniProtKB:F1SI50	NDUFB3
UniProtKB:Q007T5	ARF6
UniProtKB:A0A5G2QX61	LOC100624788
UniProtKB:K7GSL6	BCL3
UniProtKB:A0A5G2QI67	FCRL4
UniProtKB:A0A5G2QHU6	A0A5G2QHU6
UniProtKB:K7GLF2	MCTS1
UniProtKB:A0A5G2QHU0	COPA
UniProtKB:A0A287AXI5	IFI6
UniProtKB:A0A5K1V9G9	SLC12A6
UniProtKB:A7BG67	LY96
UniProtKB:A0A287ATC5	PACSIN3
UniProtKB:K7GSK5	ATF6B
UniProtKB:A0A5G2QHT6	A0A5G2QHT6
UniProtKB:K7GLG1	K7GLG1
UniProtKB:A0A5G2QI52	CPPED1
UniProtKB:F1SCY9	ANKRD22
UniProtKB:A0A287B9H4	LOC100737755
UniProtKB:A0A287AXH1	SMPD3
UniProtKB:K7GSJ9	TGFB3
UniProtKB:I3LVH9	MS4A12
UniProtKB:A0A480ELA5	TMEM178B
UniProtKB:Q9TUQ3	C7
UniProtKB:Q5MNU5	SCAP
UniProtKB:P52650	CYBA
UniProtKB:A0A286ZNW8	LOC100520491
UniProtKB:A0A287BKZ4	CDH6
UniProtKB:A0A286ZNW2	B3GNT9
UniProtKB:A0A287A5I3	LOC100516778
UniProtKB:A0A5S8KL28	SRD5A2
UniProtKB:A0A286ZNV3	SHISAL1
UniProtKB:B7TY22	GP9
UniProtKB:B7TY21	GP1BB
UniProtKB:F1S6F1	TMEM45B
UniProtKB:A0A287BKX8	BAIAP2
UniProtKB:A0A287BL91	MELK
UniProtKB:Q0Z8U2	RPS3
UniProtKB:A0A287A5G3	TMED5
UniProtKB:A0A287A5G2	PAM
UniProtKB:A0A287BKW7	CERK
UniProtKB:A0A287BL86	A0A287BL86
UniProtKB:F1RUG9	PHF8
UniProtKB:A0A287BKW4	LOC110258932
UniProtKB:P32394	HMOX1
UniProtKB:F1S6H0	KIRREL3
UniProtKB:F1S6H2	ST3GAL4
UniProtKB:F1S6H4	FOXRED1
UniProtKB:F1RUH9	FAM8A1
UniProtKB:I3L5K2	ATCAY
UniProtKB:A0A286ZYA9	P2RX4
UniProtKB:A0A286ZNR7	TMEM128
UniProtKB:F1SP58	LOC100739563
UniProtKB:A0A287BL62	PTPRU
UniProtKB:I3L5J3	LRRTM1
UniProtKB:Q0Z8R0	CST3
UniProtKB:A0A287A5D9	NINJ1
UniProtKB:F1S6J4	LOC100520723
UniProtKB:A0A286ZNQ7	PRKAR2B
UniProtKB:A0A287BKT1	PICK1
UniProtKB:A0A286ZNP5	LOC110257099
UniProtKB:A0A287BL45	PLCH1
UniProtKB:A0A287BL40	LOC110259010
UniProtKB:A0A286ZYD4	EPB41L5
UniProtKB:P80928	MIF
UniProtKB:A0A287A5B9	TMEM203
UniProtKB:F1S6L2	OR11L1
UniProtKB:F1S6L3	LOC100518957
UniProtKB:A0A287BKR7	GPAT3
UniProtKB:F1SVD7	CD8B
UniProtKB:A0A287BL30	CATSPER2
UniProtKB:F1SVD1	RNF103
UniProtKB:Q52N47	ITM2B
UniProtKB:A0A287A5A5	NRCAM
UniProtKB:A0A287BL28	LNPK
UniProtKB:F1S6M8	LOC100517331
UniProtKB:A0A286ZNN1	PKP3
UniProtKB:A0A287BL20	MAP1B
UniProtKB:F1SVC2	ST3GAL5
UniProtKB:A0A286ZNM9	A0A286ZNM9
UniProtKB:F1S6N6	OR2B11
UniProtKB:A0A287BL12	LOC100627493
UniProtKB:A0A287BL11	ITPR3
UniProtKB:F1SVB2	RETSAT
